owner,type,kind,variant,tag,version,exact_fields,wire_value,local_validator,equality_law
ca.program,ApplicationPhase,enum-member,COMMIT,ca.program.application-phase,1,value,commit,Enum.__call__,enum-member
ca.program,ApplicationPhase,enum-member,SUCCESSOR,ca.program.application-phase,1,value,successor,Enum.__call__,enum-member
ca.program,ApplicationPhase,enum-member,QUOTIENT_MEASURE,ca.program.application-phase,1,value,quotient-measure,Enum.__call__,enum-member
ca.program,TraceLineage,frozen-dataclass,record,ca.program.trace-lineage,1,root_identity|path|version,,TraceLineage.__post_init__,structural-fields
ca.program,ApplicationInput,frozen-dataclass,record,ca.program.application-input,1,configuration|trace_lineage,,ApplicationInput.__post_init__,structural-fields
ca.program,FreshBinding,frozen-dataclass,record,ca.program.fresh-binding,1,reference|identity,,FreshBinding.__post_init__,structural-fields
ca.program,AppliedEvidence,frozen-dataclass,record,ca.program.applied-evidence,1,application_identity|disposition_identity|version,,AppliedEvidence.__post_init__,structural-fields
ca.program,AppliedDerivation,frozen-dataclass,record,ca.program.applied-derivation,1,successor|source|fresh_bindings|input_trace_lineage|output_trace_lineage|evidence,,AppliedDerivation.__post_init__,structural-fields
ca.program,AppliedNoSuccessor,frozen-dataclass,record,ca.program.applied-no-successor,1,source|input_trace_lineage|output_trace_lineage|evidence,,AppliedNoSuccessor.__post_init__,structural-fields
ca.program,SuccessorGroup,frozen-dataclass,record,ca.program.successor-group,1,successor|derivations,,SuccessorGroup.__post_init__,structural-fields
ca.program,MeasureMass,frozen-dataclass,record,ca.program.measure-mass,1,point_identity|mass,,MeasureMass.__post_init__,structural-fields
ca.program,ProgramMeasure,frozen-dataclass,record,ca.program.program-measure,1,masses|total_mass|intensional_descriptor,,ProgramMeasure.__post_init__,structural-fields
ca.program,MeasureAbsent,frozen-dataclass,record,ca.program.measure-absent,1,,,fieldless-sum-variant,structural-fields
ca.program,MeasureAvailable,frozen-dataclass,record,ca.program.measure-available,1,measure,,MeasureAvailable.__post_init__,structural-fields
ca.program,MeasureUnavailable,frozen-dataclass,record,ca.program.measure-unavailable,1,reason|retained_source_law_and_mapping_evidence,,MeasureUnavailable.__post_init__,structural-fields
ca.program,ApplicationEvidence,frozen-dataclass,record,ca.program.application-evidence,1,phases|program_identity|input_configuration_identity|readable_binding_identity|writable_binding_identity|application_identity|canonical_rule_identity|input_trace_lineage_identity,,ApplicationEvidence.__post_init__,structural-fields
ca.program,ApplicationComplete,frozen-dataclass,record,ca.program.application-complete,1,source_outcomes|applied_atoms|no_successor_partition|outcome_atom_cardinality|derivation_cardinality|successor_cardinality|successor_quotient_with_derivation_fibers|applied_atom_measure|successor_submeasure|no_successor_submeasure|evidence,,ApplicationComplete.__post_init__,structural-fields
